Method,LogLik,sigma_y,a,b,sigma_x,ID
Robust (c=5.14),-621.4406640811936,0.2298506892848542,0.06862531964078236,0.9937347467310439,0.007176062059816705,39
Standard (c=1000),-2242.406311268037,0.4275933052164774,0.0873890509777962,0.9922856766609276,0.0038880794023463355,39
Robust (c=5.14),-627.8389348594607,0.22904657058998773,0.0064409085828421985,0.9994416737616876,0.006718693083623509,40
Standard (c=1000),-2234.802493544708,0.44744130050735315,0.011161572528128563,0.9997983082680515,0.008278801398273328,40
Robust (c=5.14),-4310.6695506242195,1.476367873940701,0.0041654465298838015,0.9997169121689952,5.674580443561035e-07,41
Standard (c=1000),-4924.659106002852,1.8744307042102462,0.0038682937056135755,0.9997331058310269,4.089550460328692e-07,41
Robust (c=5.14),-637.8540446992395,0.24411756858170952,0.010034382700707112,0.9992501288207055,0.0071314474265813275,42
Standard (c=1000),-2191.1108366466547,0.4629688933012666,0.05710512675352553,0.9948681062340463,0.005754480844568622,42
Robust (c=5.14),-2283.184818638438,0.5964293206289026,0.01914410701592638,0.9985939103674378,0.022428851305416143,43
Standard (c=1000),-2224.1739311969045,0.4581123433256014,0.053308069486236453,0.994848140563465,0.004991102291435712,43
Robust (c=5.14),-1314.3013457896363,0.4353850140884985,0.010146624735772814,0.9991205722830911,0.0004920484565724903,44
Standard (c=1000),-2209.699228301756,0.4796910770290223,0.003038893694822422,0.9998218586331573,0.0046912197217817775,44
Robust (c=5.14),-3112.2955997130275,0.979027052883759,0.06341489642501624,0.9944837747389575,0.0032593393849255177,45
Standard (c=1000),-3191.293036711493,0.9690263504557846,0.05559457153775213,0.9951631819913588,0.002858067651598818,45
Robust (c=5.14),-668.8465768215002,0.2549857293338837,0.13168448802449323,0.9878198117002078,0.00431051475773669,46
Standard (c=1000),-2226.9151024783214,0.450340280898383,0.1270395457219931,0.9888025590812453,0.008483505076892927,46
Robust (c=5.14),-621.2303820245589,0.2286496885228916,0.07848247293553752,0.9926697797054089,0.0065196890312257715,47
Standard (c=1000),-2205.776217913628,0.45255084941748075,0.12007020791971415,0.989121751337885,0.006459308103000157,47
Robust (c=5.14),-628.5451246342213,0.22071729178923008,0.03245110674909288,0.9971105855563197,0.007196632612429714,48
Standard (c=1000),-2206.771852584015,0.4787462371566019,0.11310406198198439,0.9900119443451854,0.007352678545607397,48
Robust (c=5.14),-905.8895842550334,0.18953031309273302,0.04992467921912974,0.9999999266656432,0.017861767951102378,49
Standard (c=1000),-2497.2337616580153,0.45741423958036725,0.06776016371152455,0.9989314100067445,0.018167813338171482,49
Robust (c=5.14),-629.2594445531798,0.23213009673289062,0.008967974653257795,0.9992149674117581,0.0061261442897357285,50
Standard (c=1000),-2213.271101694558,0.4567495409786363,0.030770864735556853,0.9972663370436229,0.00709674903478084,50
Robust (c=5.14),-637.6720014529099,0.2377929533749861,0.0003080932009455312,0.9999624566595647,0.004825679773570966,51
Standard (c=1000),-2208.8147981768166,0.4622515172738315,0.0028616076711196828,0.9996764913046596,0.0035012515179520267,51
Robust (c=5.14),-1100.792917754225,0.3826330621090396,0.005126987659243165,0.9995886982747367,0.0006113208492729132,52
Standard (c=1000),-2218.772046271904,0.5026534680687731,0.002077353911144694,0.9998883731972751,0.0032508257009573062,52
Robust (c=5.14),-1094.4851590448998,0.3162147922608625,0.09859639135706494,0.988876587535662,0.01635879049642086,53
Standard (c=1000),-2637.4047567492407,0.68670061830707,0.015534891560132769,0.9987684139976586,0.011977756656369224,53
Robust (c=5.14),-624.181262488793,0.23326439569155374,0.032817033573207935,0.9970662547231792,0.006272648174166976,54
Standard (c=1000),-2211.9500743328995,0.45457419597056026,0.01756972100510734,0.9986198323184642,0.0070856934219021206,54
Robust (c=5.14),-623.3116807496488,0.22539285972640244,0.05897912571474668,0.9944446313976029,0.0063013704771040764,55
Standard (c=1000),-2203.266315898716,0.47333584129339235,0.10489970426481152,0.9904156667808018,0.006711946087861462,55
Robust (c=5.14),-3090.151409699842,0.9747248158560231,0.04295067398153887,0.9962169883992052,0.002485999601277041,56
Standard (c=1000),-3143.0791794409824,0.9449506653291009,0.04679224135646301,0.9958591873129917,0.0016162925743618724,56
Robust (c=5.14),-691.3665442204904,0.2186229178581763,0.005585517237066542,0.998053948585917,0.00805738384817325,57
Standard (c=1000),-2367.33605825693,0.451239592485009,0.02069383597048888,0.995112642358611,0.01617771903297089,57
Robust (c=5.14),-3054.988479704939,0.6633325753549237,0.0768729549658203,0.9930816797846829,0.00011538536929729756,58
Standard (c=1000),-3426.0681989916475,0.7581329006110296,0.07125106575444634,0.9936816082857098,0.00011392179391233493,58
Robust (c=5.14),-1242.422472515469,0.417175181590331,0.001861677993867987,0.9999157589355718,0.0005636448941137776,59
Standard (c=1000),-2857.564455394973,0.8275845410854177,0.015661471891742114,0.9987022393310472,0.0010271761178624961,59
Robust (c=5.14),-625.5372265218112,0.2282114071974134,0.01886773611144199,0.9983770617020294,0.006802265571642797,60
Standard (c=1000),-2253.8957712033844,0.46115665072685463,0.018886869403294072,0.9996142795296792,0.008819692724141334,60
Robust (c=5.14),-629.930419398159,0.2335923899294029,0.002533991358975211,0.9999376754723782,0.006681118724237933,61
Standard (c=1000),-2334.2789485707017,0.5921368163084806,0.002432469536600427,0.9997713597188834,0.0014504838358588201,61
Robust (c=5.14),-622.1943155386585,0.227012606988193,0.0505124336052062,0.995398419479829,0.00702114584254702,62
Standard (c=1000),-2247.596700845796,0.4361794359934633,0.05531995457981202,0.9947619868854557,0.011342962969098456,62
